MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOC7BUS,201604,5.223,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,4
SOC7BUS,201605,5.683,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,5
SOC7BUS,201606,5.749,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,6
SOC7BUS,201607,5.91,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,7
SOC7BUS,201608,5.72,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,8
SOC7BUS,201609,5.137,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,9
SOC7BUS,201610,4.555,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,10
SOC7BUS,201611,3.625,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,11
SOC7BUS,201612,3.574,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2016,12
SOC7BUS,201701,3.818,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,1
SOC7BUS,201702,4.189,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,2
SOC7BUS,201703,5.818,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,3
SOC7BUS,201704,6.464,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,4
SOC7BUS,201705,7.142,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,5
SOC7BUS,201706,7.212,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,6
SOC7BUS,201707,7.555,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,7
SOC7BUS,201708,7.363,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,8
SOC7BUS,201709,6.585,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,9
SOC7BUS,201710,5.841,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,10
SOC7BUS,201711,4.621,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,11
SOC7BUS,201712,4.475,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2017,12
SOC7BUS,201801,4.982,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2018,1
SOC7BUS,201802,5.479,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2018,2
SOC7BUS,201803,7.191,3,Distributed Solar Energy Consumption for Electricity:  Commercial Sector,Trillion Btu,2018,3
