year,newprice,lag1,peek1,lag2,peek2,lag3,peek3,lag4,peek4,peek5,peek6,peek7,lag8,peek8,lag9,peek9,lag10,peek10,lag11,peek11,lag12,peek12
1995,2.2669579153508947,5.871,4.388999999999999,6.437,4.166,6.504,3.429,6.196000000000001,3.697,5.093,5.614,6.197,3.6630000000000003,6.252999999999999,3.398,6.564,4.103,6.496,4.322,5.925,5.269,5.4
1995,2.225704048658088,5.351,4.166,5.871,3.429,6.437,3.697,6.504,5.093,5.614,6.197,6.252999999999999,5.047,6.564,3.6630000000000003,6.496,3.398,5.925,4.103,5.4,4.322,4.428999999999999
1995,2.199444334074532,4.388999999999999,3.429,5.351,3.697,5.871,5.093,6.437,5.614,6.197,6.252999999999999,6.564,5.562,6.496,5.047,5.925,3.6630000000000003,5.4,3.398,4.428999999999999,4.103,4.205
1996,2.169053700369523,4.166,3.697,4.388999999999999,5.093,5.351,5.614,5.871,6.197,6.252999999999999,6.564,6.496,6.141,5.925,5.562,5.4,5.047,4.428999999999999,3.6630000000000003,4.205,3.398,3.383
1996,2.175887439948088,3.429,5.093,4.166,5.614,4.388999999999999,6.197,5.351,6.252999999999999,6.564,6.496,5.925,6.196000000000001,5.4,6.141,4.428999999999999,5.562,4.205,5.047,3.383,3.6630000000000003,3.647
1996,2.2071749081893874,3.697,5.614,3.429,6.197,4.166,6.252999999999999,4.388999999999999,6.564,6.496,5.925,5.4,6.504,4.428999999999999,6.196000000000001,4.205,6.141,3.383,5.562,3.647,5.047,5.025
1996,2.2235418856535927,5.093,6.197,3.697,6.252999999999999,3.429,6.564,4.166,6.496,5.925,5.4,4.428999999999999,6.437,4.205,6.504,3.383,6.196000000000001,3.647,6.141,5.025,5.562,5.539
1996,2.255493485460195,5.614,6.252999999999999,5.093,6.564,3.697,6.496,3.429,5.925,5.4,4.428999999999999,4.205,5.871,3.383,6.437,3.647,6.504,5.025,6.196000000000001,5.539,6.141,6.114
1996,2.2669579153508947,6.197,6.564,5.614,6.496,5.093,5.925,3.697,5.4,4.428999999999999,4.205,3.383,5.351,3.647,5.871,5.025,6.437,5.539,6.504,6.114,6.196000000000001,6.169
1996,2.2752138961979136,6.252999999999999,6.496,6.197,5.925,5.614,5.4,5.093,4.428999999999999,4.205,3.383,3.647,4.388999999999999,5.025,5.351,5.539,5.871,6.114,6.437,6.169,6.504,6.477
